80,80
163,4380,4846,4708,4539,2708,5413,4043,1078,3237,816,1335,1628,4714,1382,2942,4739,5591,1187,5266,2132,1548,3672,1688,5223,4279,2625,3152,3624,4126,4578,5559,3543,4662,5394,2009,2253,3372,724,3938,3950,1719,4570,92,5154,2772,5305,3867,716,6270,5793,1539,2475,149,3864,5136,4535,4657,218,4239,708,2525,3024,3643,1835,4100,4658,1010,3146,5381,6088,4483,3780,6250,5529,165,3417,5770,1265,1749
3642,4243,2723,514,6007,738,1234,2152,2299,3321,4959,4648,3147,2991,5032,359,5911,221,1408,938,3939,1666,2443,3709,6252,384,5462,6346,5679,5273,4502,4299,1015,4274,2958,1027,6131,1797,3312,183,77,4592,475,44,2534,3034,5043,3172,1586,5071,6140,763,1276,4923,4011,2509,5196,3466,2999,4010,3399,1198,3430,5552,710,2947,3648,2745,4005,2922,3078,1094,4964,5605,395,4065,5479,5387,1991,1905
2967,4321,2627,307,1409,4134,4660,5831,2594,1613,4474,3153,4232,5066,3968,5113,461,4948,2549,1410,5093,3708,526,2159,2276,6069,5237,3520,3074,1670,4975,4022,4093,3259,829,4643,1332,5659,1892,2511,4945,2842,1263,1626,3264,4307,3796,3178,3530,5421,2381,5309,1248,1639,2073,5706,1233,1496,2600,3513,923,4821,6358,4912,3103,3043,1307,6114,6340,1243,267,3348,749,5405,2213,2921,264,2586,2056,1915
5802,3886,1442,5502,2397,5222,675,4304,47,257,1334,4661,3847,6048,1120,3123,1739,1336,324,4294,1878,1448,344,495,3589,1046,1346,3325,4482,5020,4322,909,543,3171,1306,343,5676,1262,1593,3561,5126,1931,3478,6333,4485,5755,3888,89,1197,1856,3356,237,6181,4674,4757,2657,1963,3134,1165,2796,4793,193,2869,4984,5932,2328,3630,2649,5734,5598,117,5122,1923,6175,3455,4564,1891,1970,3211,4888
3157,3928,560,4098,6281,1054,314,3479,1615,583,1808,6008,5513,5482,213,5780,760,976,1199,891,467,1747,3660,940,2891,1833,58,1858,3222,5783,3805,3435,5614,5673,4245,1018,2203,2664,243,4450,2371,1461,4335,707,3384,2748,52,4429,2514,3612,6215,4664,2899,2297,3905,3457,4803,5376,6195,4887,855,5745,2196,84,2702,966,6286,766,3926,3301,2474,1617,1025,3307,4597,3954,1544,2944,3495,4947
1874,3917,3425,954,5446,1309,2335,5509,4789,1208,6353,3956,5735,1580,5449,4108,5696,5242,3771,32,5301,212,5849,3863,1585,4072,2890,346,4418,6036,4930,6295,1792,1558,3572,2881,5406,4878,6327,83,2595,3841,2160,3514,3235,537,5992,2669,757,3302,2920,4041,4844,3440,1637,3973,6377,2011,882,4194,2611,1305,689,572,5628,3352,2952,4924,1372,4772,3095,1966,2010,2408,2190,2959,373,5424,341,3625
2518,5919,3526,2508,2266,2267,205,382,1852,4145,5653,2599,1798,6294,3727,5074,917,2050,4056,6242,4404,293,1721,3755,5456,5665,4214,2526,2382,220,3571,1268,4198,1531,3179,5778,1911,5004,4792,1343,4183,3318,3101,5494,3613,4032,2813,2309,5343,5757,4119,3065,222,285,5643,40,3468,1404,1097,1150,14,1489,3367,3837,1333,660,46,4007,5989,1802,1836,1045,2917,3304,1273,1176,3202,3891,987,5330
980,4914,3502,3149,449,138,3184,2379,4435,4330,3550,4155,3193,407,5985,4867,3734,5386,4305,6121,156,5536,849,6384,5240,1013,5051,3279,2729,3947,3470,5956,3583,4135,3221,5430,132,1588,2677,4329,4498,1725,3409,1922,6158,5334,4332,6154,4742,4571,2481,2538,1984,5008,5997,1822,2334,3815,3231,2038,2593,4612,5102,2054,2027,2275,5894,1975,276,3345,4759,367,5872,3181,4276,1545,189,777,4936,5630
4017,4481,4434,5308,97,3974,5622,476,1088,3834,599,17,4717,186,580,4799,525,4127,497,3182,2447,4801,825,3853,3248,5689,3829,4611,3940,4845,4016,273,53,3713,623,1779,3845,717,2557,1181,4767,2404,5468,3657,4644,88,2889,419,4369,2166,626,2567,517,1048,4046,5694,3714,5999,3821,6369,2935,826,5178,5567,3014,1200,1121,3778,4702,3156,4558,2989,4451,3887,5719,81,2985,5352,5732,5845
2542,2510,5296,4581,4586,872,4425,5217,866,5771,2894,2636,1068,3833,1604,1065,2767,4943,5562,5686,3738,1784,1440,1365,4058,2507,3049,1855,1838,1211,3053,6031,2670,4949,6363,4371,3194,2292,3469,1973,1967,828,2047,2776,5006,4700,325,6381,4318,813,2512,4254,679,3148,6396,788,2077,5722,1754,3226,4596,2175,3605,342,5975,3951,5311,2287,5601,4956,5772,4241,5823,482,2338,1904,4310,1733,1841,775
3549,2462,2791,5537,513,6153,251,5621,2113,2173,5106,2783,4390,2689,1854,4605,4705,5087,1988,3007,372,1080,5658,2025,4529,1376,508,663,5258,1156,368,323,2517,1124,4375,769,1077,3094,5337,85,3380,3522,1036,1538,473,409,4847,3944,3284,4297,1906,3754,6263,1846,6347,3291,745,3232,5654,2370,1643,1578,6318,5663,290,6370,4925,299,948,4122,5620,581,3327,2872,609,5064,3242,3293,3941,944
1474,885,2887,713,3347,5915,4609,244,750,6119,4977,5597,5037,4958,2827,6135,4407,4810,5041,268,3698,3760,3204,3334,6334,1414,190,5135,5629,3582,1444,5276,38,2963,4807,3994,2033,5428,5150,318,3060,876,603,5040,234,4273,1213,889,1241,2908,5078,1609,853,3730,1644,2385,3970,3415,2168,2615,5938,4608,306,1247,6096,5439,2439,2308,1427,2634,3057,3505,361,4374,303,5453,2706,3308,3086,5114
4703,4075,5939,5965,2973,5702,3122,199,1058,397,1081,5070,5674,3935,392,4993,1438,2222,1466,2001,2227,488,4775,1064,422,380,4843,4190,1524,2080,2342,3195,1965,5091,3870,6183,1499,903,5400,5721,144,4745,1389,2816,5955,2972,1943,6136,2403,4491,2270,2356,2129,105,4713,3836,947,5062,5473,6004,5639,414,4116,1683,1917,2724,3564,2441,1605,6046,170,5728,1627,3620,6155,4752,5207,5982,4562,4774
